text_id,constant_delta,delta_variance,delta_entropy,num_transformations
0,False,0.11555555555555551,0.39267446722755217,15
1,False,0.06222222222222224,0.24493002679463532,15
2,False,0.06222222222222224,0.24493002679463532,15
3,False,0.06222222222222224,0.24493002679463532,15
4,False,0.11555555555555551,0.39267446722755217,15
5,False,0.16000000000000006,0.5004024235381879,15
6,False,0.1955555555555556,0.5799151714181009,15
7,False,0.06222222222222224,0.24493002679463532,15
8,False,0.1955555555555556,0.5799151714181009,15
9,True,0.0,0.0,15
10,False,0.1955555555555556,0.5799151714181009,15
11,False,0.06222222222222224,0.24493002679463532,15
12,False,0.06222222222222223,0.24493002679463532,15
13,False,0.11555555555555556,0.39267446722755217,15
14,False,0.16000000000000003,0.5004024235381879,15
15,False,0.06222222222222224,0.24493002679463532,15
16,False,0.06222222222222223,0.24493002679463532,15
17,False,0.11555555555555556,0.39267446722755217,15
18,False,0.11555555555555556,0.39267446722755217,15
19,True,0.0,0.0,15
20,False,0.24000000000000002,0.6730116670092565,15
21,True,0.0,0.0,15
22,False,0.1955555555555556,0.5799151714181009,15
23,False,0.11555555555555556,0.39267446722755217,15
24,False,0.1955555555555556,0.5799151714181009,15
25,False,0.11555555555555556,0.39267446722755217,15
26,False,0.06222222222222222,0.24493002679463532,15
27,False,0.06222222222222224,0.24493002679463532,15
28,False,0.11555555555555551,0.39267446722755217,15
29,False,0.16000000000000006,0.5004024235381879,15
30,False,0.11555555555555556,0.39267446722755217,15
31,False,0.06222222222222224,0.24493002679463532,15
32,False,0.11555555555555554,0.39267446722755217,15
33,False,0.24000000000000005,0.6730116670092565,15
34,True,0.0,0.0,15
35,False,0.24000000000000005,0.6730116670092565,15
36,False,0.06222222222222224,0.24493002679463532,15
37,False,0.11555555555555554,0.39267446722755217,15
38,False,0.11555555555555554,0.39267446722755217,15
39,False,0.22222222222222227,0.6365141682948128,15
40,False,0.24888888888888885,0.6909233093138181,15
41,False,0.11555555555555551,0.39267446722755217,15
42,False,0.16000000000000003,0.5004024235381879,15
43,False,0.16000000000000006,0.5004024235381879,15
44,False,0.24888888888888885,0.6909233093138181,15
45,False,0.22222222222222227,0.6365141682948128,15
46,False,0.24888888888888885,0.6909233093138181,15
47,False,0.16000000000000003,0.5004024235381879,15
48,False,0.16000000000000006,0.5004024235381879,15
49,False,0.24000000000000002,0.6730116670092565,15
50,False,0.06222222222222224,0.24493002679463532,15
