text,label,score
"Mars is the fourth planet from the sun and since it is now 2016 it was about 40 years ago that a face was found on the planet. Some people think it was made by aliens and other people are logical and say it is a natral land form. I think it is just a land form because you can duscern things in a digital image 3 times bigger than the pixel size, we havent found anything else, and it look like some of the landforms here on earth. First of all, in paragraph 11 it says that as a rule of thumb, you can discern things in a digital image up to 3 times its size. This helps prove it wasnt made by aliens because they cal close in on the picture and they didnt find anything else around it like other sculptures or houses or anything. therefore, it was either really old or just a land form. Also, we haven't found anything else on the planet. If aliens made that dont you think they would have made other things and if they did wouldnt they also be there. It is not likely the face is an artifact because there should be more and if it was made by aliens and they had more it is unlikely that they made them and only that one is still there. It does look a lot like what the agyptians made so if there were aliens they would probably be capable of doing that but it also looks like some of the landforms we have here on earth. Garvin even says in paragraph 12 ""It reminds me most of middle butte in the Snake River Plain of Idaho. hat's a lava dome that takes the form of an isolated masa about the same height as the face on mars."" In conclution, It is just a natural landform that happens to look like a face. We havent found anything else on the planet and the ppicture doesnt have anything in it like a home. Also it looks like some of the landforms here on earth, we have some natural things that look wierd so why cant mars? The face was not made by aliens.",0,0.760928213596344
"Cars are the most convinient way to travel. Unlike public transport, you can go exectly where you want - without waiting, without detours.
If zou have a lot to transport, like a peace of furnature you can just put it in the trunk - given that zour car is big enough. Riding by bus would be very impractical, getting through the doors, finding enough space.
You might thing that the bus is ceaper, and maybe sometimes it is, but as soon as you aren't traveling alone the expensives for the fuel can be shared. Time is also of importance, even trains beeing very fast traveling from one citz to another, you normaly need a lot of time until you reach your final destination. You will have to get a bus or subway, which may be late, and in the end you would have been quicker using a car. 

Besides of being more practical, there is also a psychological aspect to it. Your car is something you have earned, somthing you can be proud of. And most important, it belongs to you. So you are not quit in public when you drive your car. It's like you are still on your own teritorry. And it is also a common symbol of status, and who wants to give that up? I shure do not.

Of cause there are problemes, like rising fuel prices. But I think that ways will be found to solve them. Even today there are cars which dont need fuel based on oil. So when the last oilwells dry out, the cars won't lack of fuel - because when it happens cars won't need fuel anymore.

I think the car is so convinient, and liked by so many of us, that we will find a solution to any problem that might endanger our beloved automobil.",0,0.853318452835083
"Dear Principal, I think the policy in which cell phones are allowed during free time is better than no cell phones at all. Even if you banned cell phones it wouldn't stop kids from bringing them to school. Kids like to keep in touch, which is why they have cell phones. Since they can't talk in class texting is more sneaky than writhing paper notes and throwing them around the classroom where the teachers are watching. Its also a good time to call parents in free time if they are staying after school of they are riding home with a friend's parent. It feels less tense than asking a teacher to use your cell phone or using the school's phone. If kids are allowed to have their cell phones during free time there may be a chance they won't use their cell phone in class in return. Besides, if they aren't allowed to use their cell phones in school there is a chance they would use it in class and look cool doing it. It would just get other people trying to do it too. And if you are going to let cell phones in school, you have to enforce the rules better than with the 'no cell phones' rule. Give a big consequence if they decide to go against the rules, Like a lunch or an after school detention. Or maybe get their cell phone taken away and they can only get it back after class or school. Also you could probably send it to you, the principal's office where the can get it after school or by rules have a parent pick up the phone. If you enforce this rule you could make all the students sign a contract that they will only use their cell phones during lunch or free time or else they may have to face consequences such as the ones mentioned before. Tell them that this is not a freedom but a privilege. I think you should allow cell phones to be in school but just at lunch or a free time. That way everyone gets what they want. Kids actually get the opportunity to actually use cell phones at school. If kids get more freedom, so do you. I think you will be very surprised how many students will agree and respect this rule. Kids want to use their cell phones so I'm pretty sure no one will be breaking this policy. You, the principal can be rest assured that kids are using their cell phones at a free time but not in class. And if there were anything to happen with this rule you can always have the right to remove this rule and ban cell phones in school once and for all. Thank you, STUDENT_NAME",0,0.7615571618080139
"On this essay, it will be explain how it's worthy to study the planet Venus, despite the dangers it presents for the human being and how it could be done. Venus is often categorized as Earth's ""twin"" in terms of density and size, and often times closes in distance too. But whythe scientists are willing to take the risk to study Venus even though that it is dangerous? As the following passage says "" Astronomers are facinated by Venus because it may well once have been the most Earth-like planet in out solar system. Long ago,Venus was probably covered largely with oceans and could have supported various forms of life, just like Earth. Today, Venus still has some features that are analogous to those on Earth. The planet as a surface of rocky sediment and includes familiar features such as valleys, mountains, and craters"" giving to the reader how long ago, Venus was and is the most Earth-like planet in the solar system. The risk to goto Venus, are pretty big. ""A thick atmosphere of almost 97 percent carbon dioxide blankets Venus. Even more challenging arethe clouds of highly corrosive sulfuric acid in Venus's atmosphere."" On these passage it shows some of the risk of Venus, and even the planet surface is over 800 degrees Farenheit,and the atmospheric pressure is 90 times greater that what experience on our planet. ""Also notable,Venus has the hottest surface temperature of any planet in our solar system, even though Mercury is closer to our sun."" here is explaining the temperature of the surface of the planet Venus. On the seek to learning more of Venus, the NASA is working on another approaches to studying Venus. "" For example, some simplified electronics made of silicon carbide have been tested in a chamber simulating the chaos of Venus's surface and have lasted for three weeks in such conditions."" Here the NASA is giving the example of one project that could work to explore Venus on three weeks until it deteriorates. "" Another project is looking back to and old technology called mechanical computers. These devices were first envisioned in the 1800s and played and important role in the 1940s during World War II... By comparison,systems that use mechanical parts can be made more resistant to pressure, heat, and other forces"" On these passage it's explained how the technology made on the past can be more resistant on Venus that the technology of today,even though that it is more powerful, flexible, and quick. In conclution, exploring Venus can be a big proggres to the Earth, giving the challenges that Venus can give to the humans, These would help expand and meet the very edges of imagination and innovation. And, who knows? Maybe we will be able to live in Venus one day, but not until we decide to do the first step.",0,0.819242000579834
"Dear Principal, You could not be more correct in stating that all students must maintain a grade B average to participate in athletics. All schools provide learning experiences to even the best athletes in the nation. They must learn and do well in school even if they have a future in their sport. Sports are also a privilege; students must be competent in their studies in order to be able to be allowed to play their sport. There have been people who have excelled in their sport and had a bright future ahead of them until they faced a career ending injury to disable them from playing again. Habits start in middle school. You must have a good work ethic to focus on schoolwork along with athletics. This prepares you for high school and college, where the schools are much more serious about maintaining a good grade. Players are suspended often in sports, especially college basketball, for being unsatisfactory in their work. Yet again, the students might have a bright future, but one little slip can ruin a whole sports career. You need something to back that up. For example, Greg Oden, an NBA player, is injured very badly and has only played in about five games in two seasons. The team he is on might let him go and he will not have a good job because he does not have a degree from college. He should have thought about his grades more. They are important even though he thought that he had a star career ahead of him. Sports are a privilege, not a requirement. Students are in school not only learn the raw material such as math and reading, but they learn values, qualities and sportsmanship. Failure to comply with the rules of the school must mean the player may not comply with the rules of his or her team. Disrespect and unsportsmanlike qualities can give a bad impression to other schools. Teams are the face of the school. They are what other people see. If these people see the players on their teams fooling around and causing trouble, they will think less of the school. That is not what we want our school to be looked at as. I would like our school to have quality athletic programs, but I also want our students to go pro in something other than sports too. Maintaining a grade B average will allow our students to be a level above the rest. Sincerely, STUDENT_NAME",0,0.7724898457527161
"I'm a scientist at NASA and I know that the face is just a natural landform. I have plenty of reasons why that is, and why it wouldn't be an alien. Yes, the face on Mars has become a pop icon, but that doesn't mean people could just assume it's an alien. NASA has plenty information and data for why it's just a natural landform. I'll explain my thinking as me being a scientist at NASA. My first reason is that NASA unveiled the image for all to see. The picture noted a huge rock formation which seemed to be a human head that had eyes, nose, and mouth. You just have to think about it, those characteristics are obvious. I mean yes, it was found in Mars, but that doesn't mean it couldn't have been a human. People just have to think more into the possible and not the impossible, because everything is possible. My second reason is that they photographed the face. Other scientists at NASA saw that it clearly looked like a human head. My third reason is that they even snapped a picture ten times sharper than the original Viking photos! When the image first appeared on a JPL web site, it clearly revealed a natural landform. There was no alien monument after all. This is why I, as a scientist at NASA think it's a natural landform and not an alien. these three reasons I have should make people think about it again and decide it's officially a human head. Those who believe it's an alien, should believe more in miracles. Anything could happen in Mars or any other place around the planet. This is only my opinion, but it sure makes me feel like I'm right about my thinking.",0,0.7904085516929626
"Mr:Senator I am in favor of keeping the election by popular vote for the president of the United States. I think our country deserve the right to elect our president the person thats going to make the laws and better things for us. Some of the people yet can't vote but they watch the interviews the campains you make. What you are preparing for us for the future for our childrens parents and animals. For every single thing and we judge you the way we think is supposed to be we want our country to be better to be the best. We dont want some people we dont even know how they think to select something for us.Alright maybe sometimes we make wrong elections but we all humans and if we make the wrong decition later we can't judge you because we elect our president our ''saver''. Electoral collage is not a bad option but Im in favor of voting by popular vote for the president of the United State. Voting is a privilage we have it let us use it. Let us pick and make our mistake. Try to tell us by the campians congresist let us know you. The way you think so we can be sure in what hands our putting our futures our sons and daughters future. The electoral collage constists in 538 electors. A majoritiy of 270 electoral votes is requiered to elect the President. The presidential election is held every four years on Tusday after Monday in Novemeber. New year isn't a new life. The elections is new taxes, new laws, new benefits. Thats a new life.When you vote for a president you vote for your candidate you are actually voting for your candidate's electors. Democrats and Repunblicans they all had have ups and downs. But they still make their elections. Being in favor of election by popular vote give us the people the right to decide. The right to choose something good our bad the right to know what we need and want from the new President. If we choose by popular vote is that more people want somebody because that somebody offers something better. Because everyone or allmost everyone is confident about that man. About what his offering us. Elecitng our president by popular vote ill be a great idea. You will make the people happy. And you are giving us the place as citizens of the United States that we deserved. These is the greates country, this is the best country in the hall world everyone want to come here because of the equal rights you give us. Because the liberty of expretion. Thats a previlage. Aren't we allow to use it to the the maximun. This is a free country and we had to fight hard for that our ansesters. Electing our President of the Unirted States by popular vote is the best they could do. Im in favor of it and that's my opinion.",0,0.849553108215332
"Lukes participation in the Seagoing Cowboys program allowed him to expierence different adventures and visit many unique places. Also he can take care of hores,young cows,and mules that are shiped over sea and on there way to greece Luke turned 18 which meant he could be drafted for military school.They were on a cattle boat for a trip By the time he was discharged in 1947 Luke had made nine trips which was the most of any Seagoing Cowboy Luke had fun when the animals were releasted out of their cage the cowboys also played baseball and volleyball games in the empty holds where animals had been housed thoses games also helped time go by. Sea Cowboys were much more than a trip to Luke Bomberger it oped up the world it helped other countries and their needs and to help them survive and to stay healthy and to have a good life and good choices. That stayed with Luke Bomberger and it led him to leading a number of internalional students and exchange visitors for many years. I think that Luke made a good choice to help other people and to take care of animals.",0,0.7427983283996582
"I think it will be good in a couple years because some people can't really drive without help because the sensors will be more advance. It can really do wonders to peoples lives in the future such as going out easier being safe and more efficient. But you still need a driver's license if you want to drive a smart car because when there is a something major going on the car can't sense what other people are going to do. I really think it can do good in the future with the more advance sensors on the cars and we may have better technology. I think it can do real good in this world like herlping people that can be hurt or in pain. In paragraph 5 and 7 they have great detail of how it will help advance more in the future. In paragraph 7 they said,""None of the cars developed so far are completely driverless. They can steer, accelerate, and brake themselves, but all are designed to notify the driver when the road ahead requires human skills, such as navigating through work zones and around accidents."" They are not fully there yet on the selfless driving subject but they will be soon because in paragraph 5 has detail on that because it said,""Within 10 years, those sensors had become more advanced to detect amd respond to the danger of out-of-control skids or rollovers. The information from thr sensors can cause the car to apply brakes on individual wheels and reduce power from the engine, allowing far better response and control than a humman driver could manage alone. Further improvements in sensors and computer hardware and software to make driving safer are also leading to cars that can handle more and more driving tasks on their own."" It will be advanced in the future. I really hope one day it will happen because we are damaging the plant by using the cars we are using now. It will damage the future for our children and future generations by doing what we are doing we need stop it because we don't want to have future generation clean up what we already can clean up now. So I do hope and dream the smart car can help with this problem in a couple years. Just help save the plant and leave it clean for generatons to come.",0,0.8582857251167297
"Dear state senator I think that you should keep the Electoral Collage because it is a collage that requires a presidential canidate to have a trans-regional appeal. The Electoral College avoids the problem of elections in which no candidate recivies a majority of the votes cast. The Electoral College is a method of choosing the president of the United States and that is really importnt that we have a president. The Founding Fathers established the Electoral College because it's in the constitution as a compromise between election of the president by a vote in congress and election of the President by a popular vote of qualified citizens. The Electoral Collage is very important to the United States we should keep the collage. In some cases people depend on the Electoral collage they chose who will be President and like state goveners that is very impornant that the founding fathers made the Electoral Collage. In 1976, tie would have occurred if a mere 5,559voters in ohio and 3,687 voters in Hawaii had votes he other way. The election is only a few swing voters away from catastrophe.",0,0.7057692408561707
